t,raw_ch0,clean_ch0,raw_ch1,clean_ch1,raw_ch2,clean_ch2
2994.0,9.96,8.76,-9.96,-7.66,-9.57,-7.88
2994.004,10.74,5.93,-8.79,-6.81,-6.06,-6.11
2994.008,7.23,2.86,-3.71,-5.3,-3.71,-4.9
2994.012,4.49,1.08,-0.59,-3.82,-3.32,-4.85
2994.016,7.23,1.05,-1.37,-2.57,-3.71,-5.62
2994.02,9.18,1.79,-0.98,-1.21,-4.1,-6.28
2994.023,6.84,1.72,2.54,0.49,-4.88,-6.11
2994.027,5.27,-0.2,5.67,2.11,-2.15,-5.04
2994.031,3.32,-3.75,4.88,2.95,-0.59,-3.48
2994.035,-0.59,-7.51,4.88,2.71,-0.2,-1.92
2994.039,-5.27,-9.7,2.15,1.62,-0.2,-0.68
2994.043,-6.45,-9.27,-1.76,0.03,0.2,0.2
2994.047,-5.67,-6.72,-2.93,-1.94,-1.37,0.88
2994.051,-2.15,-3.86,-8.01,-4.29,-2.93,1.63
2994.055,-0.98,-2.53,-11.53,-6.72,-0.59,2.67
2994.059,-2.54,-3.42,-12.31,-8.61,0.2,4.03
2994.062,-7.23,-5.94,-11.14,-9.27,2.15,5.54
2994.066,-6.06,-9.14,-10.74,-8.44,6.06,7.04
2994.07,-5.27,-12.33,-7.62,-6.58,8.4,8.57
2994.074,-9.18,-15.09,-3.32,-4.78,11.53,10.32
2994.078,-11.53,-16.97,0.98,-4.14,15.04,12.4
2994.082,-6.84,-17.77,0.2,-5.02,20.51,14.65
2994.086,-3.32,-17.95,0.2,-6.98,25.2,16.72
2994.09,-2.93,-18.39,1.76,-9.41,30.28,18.33
2994.094,-1.37,-19.6,3.32,-11.99,33.41,19.62
2994.098,0.2,-21.14,0.98,-14.56,34.97,20.96
2994.102,-2.93,-21.74,-4.1,-16.73,36.53,22.42
2994.105,-1.37,-20.25,-2.54,-18.0,38.49,23.44
2994.109,5.27,-16.67,-0.98,-18.12,40.05,23.0
2994.113,9.18,-12.3,-1.37,-17.19,36.14,20.51
2994.117,12.31,-8.92,1.37,-15.49,32.23,16.34
2994.121,13.87,-7.66,0.98,-13.4,27.16,11.83
2994.125,9.96,-8.43,0.98,-11.39,20.9,8.58
2994.129,2.54,-10.41,2.54,-9.86,17.78,7.61
2994.133,2.93,-12.8,1.37,-8.87,18.95,8.86
2994.137,3.71,-15.04,0.2,-8.05,20.9,11.3
2994.141,-2.54,-16.44,2.54,-7.04,22.47,13.48
2994.145,-2.93,-16.27,5.27,-5.99,24.42,14.29
2994.148,1.37,-14.61,5.27,-5.35,23.25,13.44
2994.152,3.71,-12.74,3.32,-5.47,20.9,11.49
2994.156,2.93,-12.34,3.71,-6.26,19.34,9.52
2994.16,2.93,-14.02,4.88,-7.38,18.56,8.51
2994.164,-0.59,-16.58,-0.2,-8.41,17.39,8.88
2994.168,-3.32,-17.97,1.76,-9.21,21.29,10.41
2994.172,0.59,-16.94,3.32,-9.95,25.59,12.42
2994.176,5.67,-14.04,0.59,-10.87,24.42,14.25
2994.18,5.27,-11.08,0.2,-11.99,26.76,15.48
2994.184,8.01,-9.6,-0.98,-12.98,26.76,15.73
2994.188,8.79,-9.82,-4.1,-13.52,24.03,14.64
2994.191,2.93,-10.58,-4.88,-13.56,22.08,12.11
2994.195,1.37,-10.47,-2.15,-13.17,16.21,8.64
2994.199,6.45,-8.98,-4.88,-12.27,11.53,5.38
2994.203,8.4,-6.74,-6.06,-10.68,9.96,3.42
2994.207,7.23,-4.77,-0.59,-8.59,9.57,3.15
2994.211,9.57,-3.82,2.93,-6.76,11.14,3.99
2994.215,8.01,-4.23,0.59,-5.92,12.31,4.93
2994.219,8.01,-5.97,-0.2,-6.12,9.96,5.27
2994.223,4.49,-8.43,-0.98,-6.77,9.57,4.94
2994.227,-0.98,-10.39,-2.15,-7.25,8.79,4.4
2994.23,-0.2,-10.61,-4.49,-7.45,6.45,4.13
2994.234,0.2,-8.68,-2.54,-7.69,8.01,4.31
2994.238,4.88,-5.37,-6.06,-8.39,6.06,4.78
2994.242,6.84,-2.02,-8.4,-9.56,6.06,5.16
2994.246,6.84,0.4,-8.4,-10.73,4.88,5.14
2994.25,7.62,1.71,-11.14,-11.17,4.1,4.52
2994.254,9.18,2.46,-13.09,-10.37,0.98,3.34
2994.258,6.45,3.62,-11.14,-8.36,-2.54,1.73
2994.262,4.88,5.97,-9.96,-5.63,-8.01,-0.12
2994.266,8.79,9.47,-11.14,-2.72,-11.14,-2.19
2994.27,13.09,12.96,-9.57,-0.05,-13.09,-4.55
2994.273,12.7,14.66,-4.1,1.97,-15.43,-7.21
2994.277,11.53,13.24,-3.71,3.05,-18.56,-9.82
2994.281,6.06,8.83,-6.84,3.4,-23.64,-11.79
2994.285,-1.37,3.27,-9.96,3.8,-27.94,-12.7
2994.289,-13.09,-0.61,-12.7,4.97,-31.06,-12.8
2994.293,-14.26,-0.71,-13.09,6.91,-33.8,-12.85
2994.297,-11.14,2.86,-9.18,8.94,-33.8,-13.49
2994.301,-3.32,7.81,-8.4,10.31,-35.36,-14.56
2994.305,3.32,11.43,-7.23,10.79,-33.41,-15.17
2994.309,6.06,12.51,-2.54,10.55,-29.89,-14.47
2994.312,5.67,11.89,-0.2,9.84,-24.81,-12.51
2994.316,8.79,11.21,0.2,8.81,-19.73,-10.3
2994.32,13.09,11.58,0.2,7.64,-17.39,-9.03
2994.324,13.09,13.06,-0.59,6.61,-18.56,-9.16
2994.328,13.09,15.07,-0.98,6.06,-20.12,-10.13
2994.332,15.43,16.82,-2.15,6.14,-20.12,-10.85
2994.336,17.78,17.5,-1.76,6.49,-19.34,-10.44
2994.34,17.0,16.56,0.2,6.23,-16.61,-8.72
2994.344,15.04,14.26,0.2,4.6,-13.48,-6.12
2994.348,14.26,11.84,-2.54,1.86,-11.92,-3.5
2994.352,10.74,11.07,-11.14,-0.59,-11.14,-1.84
2994.355,9.96,13.16,-9.18,-1.22,-11.92,-1.86
2994.359,15.82,17.73,-7.23,0.45,-12.7,-3.47
2994.363,21.29,22.69,-5.27,3.5,-17.78,-5.63
2994.367,24.81,25.54,-1.37,6.47,-17.39,-6.9
2994.371,25.98,25.14,-0.59,8.12,-16.21,-6.48
2994.375,20.12,22.56,-1.37,7.95,-15.82,-4.84
2994.379,13.09,20.14,-3.32,6.26,-16.21,-3.45
2994.383,15.04,19.66,-7.23,3.99,-17.39,-3.67
2994.387,18.56,21.31,-13.09,2.36,-22.08,-5.93
2994.391,15.82,24.06,-12.31,2.14,-25.98,-9.59
2994.395,18.56,26.54,-8.01,3.23,-28.72,-13.45
2994.398,23.25,27.54,-6.84,4.8,-30.67,-16.48
2994.402,23.25,26.29,-6.84,5.93,-31.45,-18.14
2994.406,19.34,22.9,-3.71,5.98,-31.06,-18.38
2994.41,16.21,18.67,-4.1,4.84,-29.11,-17.43
2994.414,11.14,15.67,-9.96,2.93,-31.84,-15.79
2994.418,9.18,15.47,-10.35,1.02,-27.16,-14.23
2994.422,16.21,18.05,-8.79,-0.22,-24.42,-13.51
2994.426,21.68,21.88,-10.35,-0.5,-26.37,-13.94
2994.43,23.25,24.99,-6.84,0.06,-25.2,-15.06
2994.434,27.55,26.29,-4.88,1.13,-24.42,-15.95
2994.438,29.11,26.06,-4.1,2.28,-24.03,-15.9
2994.441,27.55,25.43,-0.2,3.15,-21.29,-14.79
