t,FP1-F7,F7-T7,T7-P7,P7-O1
2990.0,16.2,-4.1,15.0,8.0
2990.00390625,13.9,-6.1,13.5,10.4
2990.0078125,11.9,-8.8,12.3,13.1
2990.01171875,6.1,-10.7,12.7,15.4
2990.015625,5.7,-17.0,14.7,15.0
2990.01953125,1.8,-21.7,17.4,12.7
2990.0234375,-4.9,-20.9,15.8,11.5
2990.02734375,-13.1,-23.2,14.3,15.4
2990.03125,-18.2,-30.3,15.4,21.7
2990.03515625,-24.8,-36.9,16.6,27.2
2990.0390625,-40.4,-40.8,17.4,35.8
2990.04296875,-47.9,-42.4,20.5,33.0
2990.046875,-44.3,-43.2,19.7,26.8
2990.05078125,-39.3,-45.1,15.0,28.7
2990.0546875,-33.0,-44.7,14.7,24.4
2990.05859375,-25.6,-45.1,13.5,20.1
2990.0625,-21.7,-45.1,8.8,22.5
2990.06640625,-17.0,-44.3,7.2,21.7
2990.0703125,-7.2,-46.3,5.3,19.3
2990.07421875,-3.3,-44.3,1.8,22.9
2990.078125,-1.8,-40.4,2.1,25.6
2990.08203125,2.1,-39.7,6.4,22.1
2990.0859375,4.1,-36.1,9.2,18.6
2990.08984375,-0.6,-31.1,11.9,19.7
2990.09375,-7.2,-28.3,12.7,19.7
2990.09765625,-12.7,-30.3,14.7,23.2
2990.1015625,-21.7,-35.0,17.4,33.4
2990.10546875,-31.1,-35.0,20.1,33.8
2990.109375,-35.0,-36.5,25.6,26.0
2990.11328125,-36.5,-40.0,22.9,26.4
2990.1171875,-41.2,-41.2,21.7,20.9
2990.12109375,-44.0,-41.2,20.5,13.5
2990.125,-46.3,-41.6,18.6,11.9
2990.12890625,-51.0,-37.7,16.2,8.4
2990.1328125,-51.4,-35.4,14.3,2.1
2990.13671875,-51.0,-35.8,12.3,-0.2
2990.140625,-57.2,-33.4,8.8,-1.4
2990.14453125,-60.4,-29.5,7.2,-5.7
2990.1484375,-53.3,-29.5,3.7,-8.0
2990.15234375,-47.5,-29.1,-2.1,-6.8
2990.15625,-45.5,-25.6,-6.4,-5.3
2990.16015625,-43.2,-21.7,-11.1,-4.1
2990.1640625,-38.5,-27.2,-15.0,6.1
2990.16796875,-36.5,-26.8,-13.5,6.1
2990.171875,-29.5,-21.3,-12.7,-1.0
2990.17578125,-20.1,-22.5,-14.7,-0.6
2990.1796875,-15.8,-22.9,-13.9,-2.1
2990.18359375,-11.5,-20.5,-12.7,-4.1
2990.1875,-8.4,-22.5,-10.7,0.2
2990.19140625,-11.9,-21.7,-8.0,5.3
2990.1953125,-17.4,-18.9,-6.1,11.1
2990.19921875,-20.1,-19.3,-4.9,16.2
2990.203125,-24.4,-20.1,-3.3,20.5
2990.20703125,-29.1,-14.7,-1.0,19.7
2990.2109375,-28.7,-8.0,-0.2,14.7
2990.21484375,-22.1,-6.8,-0.6,13.1
2990.21875,-15.0,-8.4,-1.0,13.5
2990.22265625,-12.3,-5.3,-2.1,10.7
